Name,Total invested,Current valuation,Net profit,Absolute profit,Total installments,Internal rate of return,SIP start date,SIP end date
ICICI Prudential Value Discovery Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 471,385.44","₹ 141,385.44",42.84%,66,12.98%,02-02-2013,25-07-2018
ICICI Prudential Long Term Equity Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 330,000.00","₹ 516,444.12","₹ 186,444.12",56.50%,66,16.34%,02-02-2013,25-07-2018
ICICI Prudential Long Term Equity Fund - Direct Plan - Equity - Tax Planning : Dividend,"₹ 330,000.00","₹ 384,619.41","₹ 54,619.41",16.55%,66,5.55%,02-02-2013,25-07-2018
ICICI Prudential Regular Gold Savings Fund - Direct Plan - Gold Fund : Growth,"₹ 330,000.00","₹ 335,740.35","₹ 5,740.35",1.74%,66,0.62%,02-02-2013,25-07-2018
ICICI Prudential Regular Gold Savings Fund - Direct Plan - Gold Fund : Dividend,"₹ 330,000.00","₹ 335,743.83","₹ 5,743.83",1.74%,66,0.62%,02-02-2013,25-07-2018
IDBI Banking & Financial Services Fund - Direct Plan - Equity - Banking : Dividend,"₹ 10,000.00","₹ 10,099.71",₹ 99.71,1.00%,2,10.89%,02-02-2013,25-07-2018
IDBI Banking & Financial Services Fund - Direct Plan - Equity - Banking : Growth,"₹ 10,000.00","₹ 10,099.71",₹ 99.71,1.00%,2,10.89%,02-02-2013,25-07-2018
IDBI Diversified Equity Fund - Direct Plan - Equity - Midcap : Growth,"₹ 260,000.00","₹ 344,956.86","₹ 84,956.86",32.68%,52,13.19%,02-02-2013,25-07-2018
IDBI Diversified Equity Fund - Direct Plan - Equity - MidCap : Dividend,"₹ 260,000.00","₹ 284,445.08","₹ 24,445.08",9.40%,52,4.14%,02-02-2013,25-07-2018
IDBI Focused 30 Equity Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 45,000.00","₹ 46,865.49","₹ 1,865.49",4.15%,9,11.04%,02-02-2013,25-07-2018
IDBI Focused 30 Equity Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 45,000.00","₹ 46,865.49","₹ 1,865.49",4.15%,9,11.04%,02-02-2013,25-07-2018
IDBI India Top 100 Equity Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 477,982.87","₹ 147,982.87",44.84%,66,13.49%,02-02-2013,25-07-2018
IDBI India Top 100 Equity Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 385,913.73","₹ 55,913.73",16.94%,66,5.67%,02-02-2013,25-07-2018
IDBI Midcap Fund - Direct Plan - Equity - Midcap : Growth,"₹ 90,000.00","₹ 94,418.38","₹ 4,418.38",4.91%,18,6.39%,02-02-2013,25-07-2018
IDBI Midcap Fund - Direct Plan - Equity - MidCap : Dividend,"₹ 90,000.00","₹ 89,978.51",₹ -21.49,-0.02%,18,-0.03%,02-02-2013,25-07-2018
IDBI Nifty Index Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 473,658.63","₹ 143,658.63",43.53%,66,13.15%,02-02-2013,25-07-2018
IDBI Nifty Index Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 473,617.60","₹ 143,617.60",43.52%,66,13.15%,02-02-2013,25-07-2018
IDBI Nifty Junior Index Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 526,138.02","₹ 196,138.02",59.44%,66,17.03%,02-02-2013,25-07-2018
IDBI Nifty Junior Index Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 526,138.02","₹ 196,138.02",59.44%,66,17.03%,02-02-2013,25-07-2018
IDBI Small Cap Fund - Direct Plan - Equity - Small Cap : Dividend,"₹ 70,000.00","₹ 69,453.64",₹ -546.36,-0.78%,14,-1.31%,02-02-2013,25-07-2018
IDBI Small Cap Fund - Direct Plan - Equity - Small Cap : Growth,"₹ 70,000.00","₹ 69,453.64",₹ -546.36,-0.78%,14,-1.31%,02-02-2013,25-07-2018
IDBI Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 265,000.00","₹ 315,545.77","₹ 50,545.77",19.07%,53,7.93%,02-02-2013,25-07-2018
IDBI Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Quarterly,"₹ 265,000.00","₹ 255,876.91","₹ -9,123.09",-3.44%,53,-1.57%,02-02-2013,25-07-2018
IDBI Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Annual,"₹ 265,000.00","₹ 247,508.22","₹ -17,491.78",-6.60%,53,-3.05%,02-02-2013,25-07-2018
IDBI Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Annual,"₹ 320,000.00","₹ 353,400.57","₹ 33,400.57",10.44%,64,3.71%,02-02-2013,25-07-2018
IDBI Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Growth,"₹ 330,000.00","₹ 384,083.92","₹ 54,083.92",16.39%,66,5.50%,02-02-2013,25-07-2018
IDBI Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Quarterly,"₹ 330,000.00","₹ 373,991.25","₹ 43,991.25",13.33%,66,4.53%,02-02-2013,25-07-2018
IDBI Gilt Fund - Direct Plan - Debt - Gilt Medium & Long Term : Dividend-Annual,"₹ 320,000.00","₹ 318,267.73","₹ -1,732.27",-0.54%,64,-0.20%,02-02-2013,25-07-2018
IDBI Gilt Fund - Direct Plan - Debt - Gilt Medium & Long Term : Dividend-Quarterly,"₹ 330,000.00","₹ 329,263.72",₹ -736.28,-0.22%,66,-0.08%,02-02-2013,25-07-2018
IDBI Gilt Fund - Direct Plan - Debt - Gilt Medium & Long Term : Growth,"₹ 330,000.00","₹ 384,902.34","₹ 54,902.34",16.64%,66,5.57%,02-02-2013,25-07-2018
IDBI Liquid Fund - Direct Plan - Debt - Liquid : Dividend-Weekly,"₹ 330,000.00","₹ 330,147.01",₹ 147.01,0.04%,66,0.02%,02-02-2013,25-07-2018
IDBI Liquid Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 407,532.10","₹ 77,532.10",23.49%,66,7.65%,02-02-2013,25-07-2018
IDBI Liquid Fund - Direct Plan - Debt - Liquid : Dividend-Monthly,"₹ 320,000.00","₹ 319,625.26",₹ -374.74,-0.12%,64,-0.04%,02-02-2013,25-07-2018
IDBI Short Term Bond Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 402,754.96","₹ 72,754.96",22.05%,66,7.22%,02-02-2013,25-07-2018
IDBI Short Term Bond Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 412,097.53","₹ 82,097.53",24.88%,66,8.06%,02-02-2013,25-07-2018
IDBI Short Term Bond Fund - Direct Plan - Debt - Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 369,088.91","₹ 39,088.91",11.85%,66,4.05%,02-02-2013,25-07-2018
IDBI Ultra Short Term Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 410,785.33","₹ 80,785.33",24.48%,66,7.94%,02-02-2013,25-07-2018
IDBI Ultra Short Term Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 339,036.24","₹ 9,036.24",2.74%,66,0.98%,02-02-2013,25-07-2018
IDBI Ultra Short Term Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 305,000.00","₹ 362,199.05","₹ 57,199.05",18.75%,61,6.33%,02-02-2013,25-07-2018
IDBI Equity Advantage Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 295,000.00","₹ 446,776.01","₹ 151,776.01",51.45%,59,17.07%,02-02-2013,25-07-2018
IDBI Equity Advantage Fund - Direct Plan - Equity - Tax Planning : Dividend,"₹ 295,000.00","₹ 353,065.33","₹ 58,065.33",19.68%,59,7.31%,02-02-2013,25-07-2018
IDBi Equity Savings Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Monthly,"₹ 330,000.00","₹ 358,077.54","₹ 28,077.54",8.51%,66,2.95%,02-02-2013,25-07-2018
IDBi Equity Savings Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Quarterly,"₹ 285,000.00","₹ 270,058.00","₹ -14,942.00",-5.24%,57,-1.88%,02-02-2013,25-07-2018
IDBi Equity Savings Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Growth,"₹ 330,000.00","₹ 396,884.96","₹ 66,884.96",20.27%,66,6.69%,02-02-2013,25-07-2018
IDBI Hybrid Equity Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 110,000.00","₹ 117,762.42","₹ 7,762.42",7.06%,22,7.51%,02-02-2013,25-07-2018
IDBI Hybrid Equity Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 110,000.00","₹ 121,088.49","₹ 11,088.49",10.08%,22,10.69%,02-02-2013,25-07-2018
IDBI Gold Fund - Direct Plan - Gold Fund : Growth,"₹ 330,000.00","₹ 330,486.82",₹ 486.82,0.15%,66,0.05%,02-02-2013,25-07-2018
IDFC All Seasons Bond Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 408,332.73","₹ 78,332.73",23.74%,66,7.73%,02-02-2013,25-07-2018
IDFC All Seasons Bond Fund - Direct Plan - Debt - Short Term : Periodic Dividend,"₹ 225,000.00","₹ 258,352.95","₹ 33,352.95",14.82%,45,7.02%,02-02-2013,25-07-2018
IDFC All Seasons Bond Fund - Direct Plan - Debt - Short Term : Dividend-Fortnightly,"₹ 265,000.00","₹ 268,040.47","₹ 3,040.47",1.15%,53,0.51%,02-02-2013,25-07-2018
IDFC All Seasons Bond Fund - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 270,000.00","₹ 274,289.17","₹ 4,289.17",1.59%,54,0.70%,02-02-2013,25-07-2018
IDFC Banking & PSU Debt Fund - Direct Plan - Debt - Ultra Short Term : Dividend,"₹ 325,000.00","₹ 339,510.32","₹ 14,510.32",4.46%,65,1.60%,02-02-2013,25-07-2018
IDFC Banking & PSU Debt Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Quarterly,"₹ 260,000.00","₹ 264,103.73","₹ 4,103.73",1.58%,52,0.72%,02-02-2013,25-07-2018
IDFC Banking & PSU Debt Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 325,000.00","₹ 394,419.35","₹ 69,419.35",21.36%,65,7.13%,02-02-2013,25-07-2018
IDFC Bond Fund Income Plan - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 406,997.52","₹ 76,997.52",23.33%,66,7.60%,02-02-2013,25-07-2018
IDFC Bond Fund Income Plan - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 330,000.00","₹ 333,505.87","₹ 3,505.87",1.06%,66,0.38%,02-02-2013,25-07-2018
IDFC Bond Fund Income Plan - Direct Plan - Debt - Income : Periodic Dividend,"₹ 200,000.00","₹ 227,329.65","₹ 27,329.65",13.66%,40,6.27%,02-02-2013,25-07-2018
IDFC Bond Fund Income Plan - Direct Plan - Debt - Income : Dividend-Annual,"₹ 325,000.00","₹ 325,585.02",₹ 585.02,0.18%,65,0.07%,02-02-2013,25-07-2018
IDFC Bond Fund Medium Term Plan - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 332,330.39","₹ 2,330.39",0.71%,66,0.25%,02-02-2013,25-07-2018
IDFC Bond Fund Medium Term Plan - Direct Plan - Debt - Short Term : Dividend-Bimonthly,"₹ 330,000.00","₹ 347,336.65","₹ 17,336.65",5.25%,66,1.85%,02-02-2013,25-07-2018
IDFC Bond Fund Medium Term Plan - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 330,000.00","₹ 338,054.26","₹ 8,054.26",2.44%,66,0.87%,02-02-2013,25-07-2018
IDFC Bond Fund Medium Term Plan - Direct Plan - Debt - Short Term : Dividend-Fortnightly,"₹ 270,000.00","₹ 268,930.42","₹ -1,069.58",-0.40%,54,-0.13%,02-02-2013,25-07-2018
IDFC Bond Fund Medium Term Plan - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 408,363.06","₹ 78,363.06",23.75%,66,7.73%,02-02-2013,25-07-2018
IDFC Bond Fund Medium Term Plan - Direct Plan - Debt - Short Term : Periodic Dividend,"₹ 235,000.00","₹ 269,586.47","₹ 34,586.47",14.72%,47,7.04%,02-02-2013,25-07-2018
IDFC Bond Fund Short Term Plan - Direct Plan - Debt - Short Term : Dividend-Fortnightly,"₹ 330,000.00","₹ 329,517.16",₹ -482.84,-0.15%,66,-0.05%,02-02-2013,25-07-2018
IDFC Bond Fund Short Term Plan - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 409,499.52","₹ 79,499.52",24.09%,66,7.83%,02-02-2013,25-07-2018
IDFC Bond Fund Short Term Plan - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 15,000.00","₹ 15,141.71",₹ 141.71,0.94%,3,7.30%,02-02-2013,25-07-2018
IDFC Bond Fund Short Term Plan - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 333,445.54","₹ 3,445.54",1.04%,66,0.38%,02-02-2013,25-07-2018
IDFC Bond Fund Short Term Plan - Direct Plan - Debt - Short Term : Dividend-Annual,₹ 0.00,₹ 0.00,₹ 0.00,%,-,%,02-02-2013,-
IDFC Bond Fund Short Term Plan - Direct Plan - Debt - Short Term : Periodic Dividend,"₹ 235,000.00","₹ 277,065.30","₹ 42,065.30",17.90%,47,8.46%,02-02-2013,25-07-2018
IDFC Cash Fund - Direct Plan - Debt - Liquid : Periodic Dividend,"₹ 315,000.00","₹ 370,780.16","₹ 55,780.16",17.71%,63,6.19%,02-02-2013,25-07-2018
IDFC Cash Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 407,486.06","₹ 77,486.06",23.48%,66,7.65%,02-02-2013,25-07-2018
IDFC Cash Fund - Direct Plan - Debt - Liquid : Dividend-Monthly,"₹ 330,000.00","₹ 331,440.24","₹ 1,440.24",0.44%,66,0.16%,02-02-2013,25-07-2018
IDFC Corporate Bond Fund - Direct Plan - Debt - Short Term : Dividend,"₹ 155,000.00","₹ 166,608.25","₹ 11,608.25",7.49%,31,5.61%,02-02-2013,25-07-2018
IDFC Corporate Bond Fund - Direct Plan - Debt - Short Term : Growth,"₹ 155,000.00","₹ 168,790.32","₹ 13,790.32",8.90%,31,6.64%,02-02-2013,25-07-2018
IDFC Corporate Bond Fund - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 140,000.00","₹ 141,315.69","₹ 1,315.69",0.94%,28,0.79%,02-02-2013,25-07-2018
IDFC Corporate Bond Fund - Direct Plan - Debt - Short Term : Dividend-Annual,"₹ 125,000.00","₹ 124,001.13",₹ -998.87,-0.80%,25,-0.76%,02-02-2013,25-07-2018
IDFC Corporate Bond Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 135,000.00","₹ 136,344.81","₹ 1,344.81",1.00%,27,0.87%,02-02-2013,25-07-2018
IDFC Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Annual,"₹ 85,000.00","₹ 83,834.65","₹ -1,165.35",-1.37%,17,-1.89%,02-02-2013,25-07-2018
IDFC Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Half Yearly,"₹ 85,000.00","₹ 85,491.75",₹ 491.75,0.58%,17,0.80%,02-02-2013,25-07-2018
IDFC Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 85,000.00","₹ 88,365.01","₹ 3,365.01",3.96%,17,5.46%,02-02-2013,25-07-2018
IDFC Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Periodic Dividend,"₹ 85,000.00","₹ 88,365.44","₹ 3,365.44",3.96%,17,5.46%,02-02-2013,25-07-2018
IDFC Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Quarterly,"₹ 85,000.00","₹ 85,425.72",₹ 425.72,0.50%,17,0.69%,02-02-2013,25-07-2018
IDFC Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Growth,"₹ 330,000.00","₹ 410,485.22","₹ 80,485.22",24.39%,66,7.92%,02-02-2013,25-07-2018
IDFC Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Periodic Dividend,"₹ 235,000.00","₹ 267,785.70","₹ 32,785.70",13.95%,47,6.69%,02-02-2013,25-07-2018
IDFC Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Half Yearly,"₹ 315,000.00","₹ 320,498.74","₹ 5,498.74",1.75%,63,0.66%,02-02-2013,25-07-2018
IDFC Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend,"₹ 330,000.00","₹ 353,990.38","₹ 23,990.38",7.27%,66,2.54%,02-02-2013,25-07-2018
IDFC Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Annual,"₹ 330,000.00","₹ 328,458.42","₹ -1,541.58",-0.47%,66,-0.17%,02-02-2013,25-07-2018
IDFC Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Quarterly,"₹ 330,000.00","₹ 354,219.76","₹ 24,219.76",7.34%,66,2.56%,02-02-2013,25-07-2018
IDFC G - Sec Fund - Constant Maturity Plan - Direct Plan - Debt - Gilt Short Term : Periodic Dividend,"₹ 235,000.00","₹ 271,829.75","₹ 36,829.75",15.67%,47,7.47%,02-02-2013,25-07-2018
IDFC G - Sec Fund - Constant Maturity Plan - Direct Plan - Debt - Gilt Short Term : Dividend-Quarterly,"₹ 225,000.00","₹ 229,359.89","₹ 4,359.89",1.94%,45,1.02%,02-02-2013,25-07-2018
IDFC G - Sec Fund - Constant Maturity Plan - Direct Plan - Debt - Gilt Short Term : Growth,"₹ 330,000.00","₹ 415,663.97","₹ 85,663.97",25.96%,66,8.37%,02-02-2013,25-07-2018
IDFC G - Sec Fund - Investment Plan - Direct Plan - Debt - Gilt Medium & Long Term : Dividend-Quarterly,"₹ 330,000.00","₹ 331,142.13","₹ 1,142.13",0.35%,66,0.12%,02-02-2013,25-07-2018
IDFC G - Sec Fund - Investment Plan - Direct Plan - Debt - Gilt Medium & Long Term : Dividend-Annual,"₹ 320,000.00","₹ 332,226.19","₹ 12,226.19",3.82%,64,1.40%,02-02-2013,25-07-2018
IDFC G - Sec Fund - Investment Plan - Direct Plan - Debt - Gilt Medium & Long Term : Periodic Dividend,"₹ 185,000.00","₹ 212,774.20","₹ 27,774.20",15.01%,37,6.41%,02-02-2013,25-07-2018
IDFC G - Sec Fund - Investment Plan - Direct Plan - Debt - Gilt Medium & Long Term : Growth,"₹ 330,000.00","₹ 409,841.55","₹ 79,841.55",24.19%,66,7.86%,02-02-2013,25-07-2018
IDFC G - Sec Fund - Investment Plan - Direct Plan - Debt - Gilt Medium & Long Term : Dividend,"₹ 330,000.00","₹ 327,547.71","₹ -2,452.29",-0.74%,66,-0.27%,02-02-2013,25-07-2018
IDFC Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Periodic Dividend,"₹ 330,000.00","₹ 391,147.92","₹ 61,147.92",18.53%,66,6.16%,02-02-2013,25-07-2018
IDFC Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Quarterly,"₹ 330,000.00","₹ 337,738.58","₹ 7,738.58",2.35%,66,0.84%,02-02-2013,25-07-2018
IDFC Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 412,331.85","₹ 82,331.85",24.95%,66,8.08%,02-02-2013,25-07-2018
IDFC Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 331,550.80","₹ 1,550.80",0.47%,66,0.17%,02-02-2013,25-07-2018
IDFC Money Manager Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 408,970.46","₹ 78,970.46",23.93%,66,7.78%,02-02-2013,25-07-2018
IDFC Money Manager Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 331,229.61","₹ 1,229.61",0.37%,66,0.13%,02-02-2013,25-07-2018
IDFC Money Manager Fund - Direct Plan - Debt - Ultra Short Term : Periodic Dividend,"₹ 200,000.00","₹ 230,820.59","₹ 30,820.59",15.41%,40,7.03%,02-02-2013,25-07-2018
IDFC Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Monthly,"₹ 330,000.00","₹ 336,297.58","₹ 6,297.58",1.91%,66,0.68%,02-02-2013,25-07-2018
IDFC Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Growth,"₹ 330,000.00","₹ 402,343.64","₹ 72,343.64",21.92%,66,7.19%,02-02-2013,25-07-2018
IDFC Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Annual,"₹ 210,000.00","₹ 220,731.08","₹ 10,731.08",5.11%,42,2.84%,02-02-2013,25-07-2018
IDFC Asset Allocation Fund of Fund - Aggressive Plan - Direct Plan - Hybrid - Debt-oriented Aggressive : Dividend,"₹ 330,000.00","₹ 409,720.76","₹ 79,720.76",24.16%,66,7.85%,02-02-2013,25-07-2018
IDFC Asset Allocation Fund of Fund - Aggressive Plan - Direct Plan - Hybrid - Debt-oriented Aggressive : Growth,"₹ 330,000.00","₹ 449,244.66","₹ 119,244.66",36.13%,66,11.21%,02-02-2013,25-07-2018
IDFC Asset Allocation Fund of Fund - Conservative Plan - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend,"₹ 325,000.00","₹ 363,955.66","₹ 38,955.66",11.99%,65,4.16%,02-02-2013,25-07-2018
IDFC Asset Allocation Fund of Fund - Conservative Plan - Direct Plan - Hybrid - Debt-oriented Conservative : Growth,"₹ 320,000.00","₹ 410,377.77","₹ 90,377.77",28.24%,64,9.32%,02-02-2013,25-07-2018
IDFC Asset Allocation Fund of Fund - Moderate Plan - Direct Plan - Hybrid - Debt-oriented Aggressive : Growth,"₹ 330,000.00","₹ 436,388.81","₹ 106,388.81",32.24%,66,10.15%,02-02-2013,25-07-2018
IDFC Asset Allocation Fund of Fund - Moderate Plan - Direct Plan - Hybrid - Debt-oriented Aggressive : Dividend,"₹ 75,000.00","₹ 76,448.46","₹ 1,448.46",1.93%,15,3.03%,02-02-2013,25-07-2018
IDFC Dynamic Equity Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 230,000.00","₹ 243,265.90","₹ 13,265.90",5.77%,46,2.91%,02-02-2013,25-07-2018
IDFC Dynamic Equity Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 230,000.00","₹ 275,635.46","₹ 45,635.46",19.84%,46,9.52%,02-02-2013,25-07-2018
IDFC Equity Savings Fund - Direct Plan - Hybrid - Arbitrage : Growth,"₹ 275,000.00","₹ 320,395.45","₹ 45,395.45",16.51%,55,6.67%,02-02-2013,25-07-2018
IDFC Equity Savings Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Monthly,"₹ 290,000.00","₹ 297,166.69","₹ 7,166.69",2.47%,58,1.00%,02-02-2013,25-07-2018
IDFC Hybrid Equity Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 95,000.00","₹ 100,935.09","₹ 5,935.09",6.25%,19,7.70%,02-02-2013,25-07-2018
IDFC Hybrid Equity Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 95,000.00","₹ 96,437.11","₹ 1,437.11",1.51%,19,1.87%,02-02-2013,25-07-2018
IDFC Regular Savings Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Growth,"₹ 330,000.00","₹ 422,796.50","₹ 92,796.50",28.12%,66,8.99%,02-02-2013,25-07-2018
IDFC Regular Savings Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend,"₹ 330,000.00","₹ 345,520.66","₹ 15,520.66",4.70%,66,1.66%,02-02-2013,25-07-2018
IDFC Regular Savings Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Quarterly,"₹ 330,000.00","₹ 346,392.09","₹ 16,392.09",4.97%,66,1.75%,02-02-2013,25-07-2018
IDFC Core Equity Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 408,588.62","₹ 78,588.62",23.81%,66,7.75%,02-02-2013,25-07-2018
IDFC Core Equity Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 513,824.45","₹ 183,824.45",55.70%,66,16.15%,02-02-2013,25-07-2018
IDFC Focused Equity Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 526,268.96","₹ 196,268.96",59.48%,66,17.04%,02-02-2013,25-07-2018
IDFC Focused Equity Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 437,085.49","₹ 107,085.49",32.45%,66,10.21%,02-02-2013,25-07-2018
IDFC Infrastructure Fund - Direct Plan - Equity - Infrastructure : Growth,"₹ 330,000.00","₹ 500,104.55","₹ 170,104.55",51.55%,66,15.15%,02-02-2013,25-07-2018
IDFC Infrastructure Fund - Direct Plan - Equity - Infrastructure : Dividend,"₹ 330,000.00","₹ 490,785.16","₹ 160,785.16",48.72%,66,14.46%,02-02-2013,25-07-2018
IDFC Large Cap Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 396,028.56","₹ 66,028.56",20.01%,66,6.61%,02-02-2013,25-07-2018
IDFC Large Cap Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 485,634.93","₹ 155,634.93",47.16%,66,14.07%,02-02-2013,25-07-2018
IDFC Multicap Fund - Direct Plan - Equity - Midcap : Growth,"₹ 330,000.00","₹ 521,502.22","₹ 191,502.22",58.03%,66,16.70%,02-02-2013,25-07-2018
IDFC Multicap Fund - Direct Plan - Equity - Midcap : Dividend,"₹ 330,000.00","₹ 387,823.64","₹ 57,823.64",17.52%,66,5.85%,02-02-2013,25-07-2018
IDFC Nifty Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 480,903.66","₹ 150,903.66",45.73%,66,13.71%,02-02-2013,25-07-2018
IDFC Nifty Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 480,890.38","₹ 150,890.38",45.72%,66,13.71%,02-02-2013,25-07-2018
IDFC Sterling Value Fund - Direct Plan - Equity - MidCap : Growth,"₹ 330,000.00","₹ 566,332.62","₹ 236,332.62",71.62%,66,19.76%,02-02-2013,25-07-2018
IDFC Sterling Value Fund - Direct Plan - Equity - MidCap : Dividend,"₹ 330,000.00","₹ 456,777.86","₹ 126,777.86",38.42%,66,11.82%,02-02-2013,25-07-2018
IDFC Tax Advantage (ELSS) Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 330,000.00","₹ 552,345.93","₹ 222,345.93",67.38%,66,18.83%,02-02-2013,25-07-2018
IDFC Tax Advantage (ELSS) Fund - Direct Plan - Equity - Tax Planning : Dividend,"₹ 330,000.00","₹ 418,680.59","₹ 88,680.59",26.87%,66,8.64%,02-02-2013,25-07-2018
IIFL Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Growth,"₹ 310,000.00","₹ 379,775.66","₹ 69,775.66",22.51%,62,7.85%,02-02-2013,25-07-2018
IIFL Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Quarterly,"₹ 145,000.00","₹ 162,963.88","₹ 17,963.88",12.39%,29,6.01%,02-02-2013,25-07-2018
IIFL Liquid Fund - Direct Plan - Debt - Liquid : Growth,"₹ 285,000.00","₹ 336,576.58","₹ 51,576.58",18.10%,57,7.00%,02-02-2013,25-07-2018
